id,post_id,react_like_count,react_love_count,react_wow_count,react_haha_count,react_angry_count,react_sad_count,total_comments_count,total_reactions_count,taken_at,image_filename,page_id,text,fb_post_id,truth_id,truth_number,manual,time_posted,fb_page_id,logo_url,hall_of_fame_url,page_url_prefix,page_name,image_url
1973862,1973862,3,0,0,0,0,0,0,3,2022-05-26 22:30:48,,3183,"#Varsitea5

ML @ Opinions is fit",103535472377538_104003985664020,2922765,5,0,2022-05-25 23:22:07,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1973862,varsitea,Varsitea,
1973867,1973867,1,0,0,0,0,0,0,1,2022-05-26 22:35:45,,3183,"#Varsitea6

Where’s the tea though",103535472377538_104005078997244,2923108,6,0,2022-05-25 23:25:06,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1973867,varsitea,Varsitea,
1975797,1975797,6,2,0,3,0,0,3,14,2022-05-27 18:07:44,,3183,"#Varsitea12

that news article about Jordan Peterson being gifted a slab of meat has been haunting me for ages. what meat? beef? was it premium wagyu? what cut? was it marbled? how enormous is it? did it have to be from a butcher's? I need to know",103535472377538_104603632270722,2926485,12,0,2022-05-26 18:24:08,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1975797,varsitea,Varsitea,
1976445,1976445,6,0,0,0,0,0,4,10,2022-05-28 07:20:55,,3183,"#Varsitea13

Shoutout to all the hot varsity girlies 🥵 you all work so hard & look good doing it- big love",103535472377538_104961928901559,2926826,13,0,2022-05-27 08:06:06,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1976445,varsitea,Varsitea,
1976876,1976876,2,2,0,0,0,0,0,4,2022-05-28 11:07:24,,3183,"#Varsitea14

let's not forget about the guys - arrogant AND poorly dressed !! you're doing the most x",103535472377538_105088338888918,2928212,14,0,2022-05-27 12:02:08,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1976876,varsitea,Varsitea,
1978787,1978787,2,0,0,0,0,0,0,2,2022-05-29 10:10:58,,3183,"#Varsitea19

Ok but where actually is the tea",103535472377538_105749265489492,2931821,19,0,2022-05-28 11:02:09,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1978787,varsitea,Varsitea,
1979044,1979044,1,0,1,6,0,0,1,9,2022-06-04 13:10:52,,3183,"#Varsitea21

Should SH be writing for tcs whilst he's a varsity editor? scab",103535472377538_105811545483264,2932281,21,0,2022-05-28 13:13:08,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1979044,varsitea,Varsitea,
1979059,1979059,4,0,0,0,0,0,0,4,2022-06-04 13:15:52,,3183,"#Varsitea22

varsity women >>>>
varsity men <<<<",103535472377538_105815598816192,2932333,22,0,2022-05-28 13:18:09,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1979059,varsitea,Varsitea,
1979159,1979159,6,1,0,0,0,0,0,7,2022-05-29 13:25:56,,3183,"#Varsitea23

Ceci Browning is the Carrie Bradshaw of Cambridge, I love her",103535472377538_105867388811013,2932602,23,0,2022-05-28 14:19:06,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1979159,varsitea,Varsitea,
1979167,1979167,11,2,0,0,0,0,0,13,2022-05-29 13:32:22,,3183,"#Varsitea24

Nabiha 4 next EiC",103535472377538_105870785477340,2932458,24,0,2022-05-28 14:25:07,103535472377538,https://unitruths.s3.eu-west-2.amazonaws.com/logos/628de8dabcf3d9.11395266.png,https://varsitea.uni-truths.com/hall-of-fame/1979167,varsitea,Varsitea,
